datetime,low,high,open,close,volumefrom,volumeto
2017-10-07 22:00:00,12.06,12.4,12.06,12.38,2245.21,27580.86
2017-10-07 23:00:00,12.31,12.49,12.38,12.31,2005.38,24817.46
2017-10-08 00:00:00,12.31,12.43,12.31,12.35,622.35,7719.11
2017-10-08 01:00:00,12.33,12.45,12.35,12.33,268.92,3333.62
2017-10-08 02:00:00,12.26,12.4,12.33,12.4,216.33,2666.83
2017-10-08 03:00:00,12.28,12.4,12.4,12.3,266.46,3276.87
2017-10-08 04:00:00,12.25,12.34,12.3,12.25,199.51,2446.62
2017-10-08 05:00:00,12.25,12.35,12.25,12.35,35.52,438.23
2017-10-08 06:00:00,12.21,12.35,12.35,12.21,449.48,5499.93
2017-10-08 07:00:00,12.21,12.4,12.21,12.39,766.38,9470.05
2017-10-08 08:00:00,12.3,12.4,12.39,12.31,349.08,4309.34
2017-10-08 09:00:00,12.26,12.31,12.31,12.31,1335.52,16425.82
2017-10-08 10:00:00,12.26,12.35,12.31,12.35,354.77,4367.18
2017-10-08 11:00:00,12.35,12.4,12.35,12.37,608.09,7526.88
2017-10-08 12:00:00,12.26,12.4,12.37,12.28,760.65,9369.81
2017-10-08 13:00:00,12.28,12.45,12.28,12.4,1326.06,16437.19
2017-10-08 14:00:00,12.38,12.6,12.4,12.41,3066.86,38312.68
2017-10-08 15:00:00,12.41,12.6,12.41,12.48,878.3,10995.39
2017-10-08 16:00:00,12.38,12.48,12.48,12.38,3132.5,38841.8
2017-10-08 17:00:00,12.38,12.4,12.38,12.4,651.74,8075.08
2017-10-08 18:00:00,12.32,12.44,12.4,12.32,215.66,2666.19
2017-10-08 19:00:00,12.32,12.41,12.32,12.34,623.36,7688.81
2017-10-08 20:00:00,12.3,12.49,12.34,12.3,270.58,3356.43
2017-10-08 21:00:00,12.2,12.3,12.3,12.24,491.74,6018.1
2017-10-08 22:00:00,12.11,12.3,12.24,12.11,304.09,3707.82
2017-10-08 23:00:00,12.1,12.26,12.11,12.11,583.54,7071.39
2017-10-09 00:00:00,12.02,12.22,12.11,12.05,2737.08,32963.67
2017-10-09 01:00:00,12.05,12.14,12.05,12.14,175.54,2125.82
2017-10-09 02:00:00,12.06,12.14,12.14,12.09,134.94,1630.65
2017-10-09 03:00:00,12.0,12.09,12.09,12.08,1777.78,21382.15
2017-10-09 04:00:00,11.98,12.08,12.08,11.98,556.07,6676.44
2017-10-09 05:00:00,11.9,12.07,11.98,11.94,1958.47,23385.81
2017-10-09 06:00:00,11.91,11.96,11.94,11.94,261.67,3124.5
2017-10-09 07:00:00,11.91,11.95,11.94,11.91,282.25,3363.53
2017-10-09 08:00:00,11.91,11.99,11.91,11.99,1064.32,12738.34
2017-10-09 09:00:00,11.91,12.01,11.99,11.93,315.81,3769.62
2017-10-09 10:00:00,11.9,12.0,11.93,11.93,178.8,2131.95
2017-10-09 11:00:00,11.93,12.0,11.93,11.94,102.32,1226.03
2017-10-09 12:00:00,11.93,12.0,11.94,11.93,392.47,4693.88
2017-10-09 13:00:00,11.86,11.95,11.93,11.86,571.89,6788.47
2017-10-09 14:00:00,11.84,11.9,11.86,11.84,113.3,1344.77
2017-10-09 15:00:00,11.71,11.84,11.84,11.77,1513.61,17855.19
2017-10-09 16:00:00,11.67,11.77,11.77,11.7,253.85,2975.37
2017-10-09 17:00:00,11.54,11.7,11.7,11.54,1618.04,18730.07
2017-10-09 18:00:00,11.23,11.61,11.54,11.38,2926.91,33345.44
2017-10-09 19:00:00,10.9,11.41,11.41,11.0,4186.8,46356.67
2017-10-09 20:00:00,10.95,11.4,11.0,11.25,1829.61,20450.38
2017-10-09 21:00:00,11.12,11.36,11.25,11.36,2460.12,27825.86
2017-10-09 22:00:00,11.36,11.48,11.36,11.4,75.0,859.6
2017-10-09 23:00:00,11.4,11.47,11.4,11.47,353.17,4033.3
2017-10-10 00:00:00,11.4,11.5,11.47,11.4,317.36,3626.72
2017-10-10 01:00:00,11.3,11.52,11.4,11.52,1078.18,12297.22
2017-10-10 02:00:00,11.39,11.52,11.52,11.42,1105.61,12593.51
2017-10-10 03:00:00,11.4,11.49,11.42,11.48,279.79,3203.45
2017-10-10 04:00:00,11.41,11.51,11.48,11.43,220.89,2538.23
2017-10-10 05:00:00,11.37,11.5,11.43,11.42,373.06,4260.92
2017-10-10 06:00:00,11.42,11.5,11.42,11.42,695.74,7970.84
2017-10-10 07:00:00,11.25,11.42,11.42,11.25,3358.63,37872.62
2017-10-10 08:00:00,11.25,11.34,11.25,11.34,1226.89,13837.4
2017-10-10 09:00:00,11.27,11.36,11.34,11.36,1674.51,18981.53
2017-10-10 10:00:00,11.31,11.48,11.36,11.41,441.11,5032.65
2017-10-10 11:00:00,11.3,11.41,11.41,11.3,267.6,3046.07
2017-10-10 12:00:00,11.3,11.42,11.3,11.4,289.98,3309.64
2017-10-10 13:00:00,11.37,11.43,11.4,11.38,179.01,2042.1
2017-10-10 14:00:00,11.38,11.57,11.38,11.57,524.26,6023.96
2017-10-10 15:00:00,11.46,11.58,11.57,11.46,83.42,956.35
2017-10-10 16:00:00,11.46,11.59,11.46,11.59,460.95,5330.1
2017-10-10 17:00:00,11.49,11.72,11.59,11.49,517.07,6010.48
2017-10-10 18:00:00,11.49,11.64,11.49,11.62,596.46,6899.36
2017-10-10 19:00:00,11.5,11.65,11.62,11.5,1054.87,12237.49
2017-10-10 20:00:00,11.5,11.55,11.5,11.55,965.31,11118.45
2017-10-10 21:00:00,11.5,11.62,11.55,11.57,258.43,2986.64
2017-10-10 22:00:00,11.46,11.57,11.57,11.5,1227.14,14153.24
2017-10-10 23:00:00,11.4,11.5,11.5,11.41,423.52,4839.52
2017-10-11 00:00:00,11.41,11.42,11.41,11.41,0.09561,1.09
2017-10-11 01:00:00,11.41,11.54,11.41,11.48,613.91,7069.95
2017-10-11 02:00:00,11.45,11.57,11.48,11.47,800.65,9193.52
2017-10-11 03:00:00,11.45,11.54,11.47,11.45,1441.26,16534.64
2017-10-11 04:00:00,11.42,11.45,11.45,11.43,2211.07,25310.87
2017-10-11 05:00:00,11.35,11.46,11.43,11.36,1190.53,13559.76
2017-10-11 06:00:00,11.36,11.51,11.36,11.42,1167.01,13375.02
2017-10-11 07:00:00,11.42,11.5,11.42,11.5,705.6,8083.05
2017-10-11 08:00:00,11.38,11.5,11.5,11.42,756.89,8657.04
2017-10-11 09:00:00,11.3,11.43,11.42,11.31,1216.94,13809.68
2017-10-11 10:00:00,11.31,11.39,11.31,11.33,316.42,3584.84
2017-10-11 11:00:00,11.33,11.39,11.33,11.37,479.04,5443.43
2017-10-11 12:00:00,11.35,11.44,11.37,11.4,2199.84,25075.76
2017-10-11 13:00:00,11.4,11.47,11.4,11.4,1344.24,15338.42
2017-10-11 14:00:00,11.35,11.43,11.4,11.39,1388.69,15788.42
2017-10-11 15:00:00,11.32,11.41,11.39,11.41,1288.46,14628.37
2017-10-11 16:00:00,11.39,11.49,11.41,11.39,4525.12,51919.98
2017-10-11 17:00:00,11.37,11.45,11.39,11.43,214.55,2442.13
2017-10-11 18:00:00,11.35,11.45,11.43,11.36,535.03,6089.96
2017-10-11 19:00:00,11.36,11.43,11.36,11.43,179.33,2049.63
2017-10-11 20:00:00,11.38,11.43,11.43,11.38,13.16,149.65
2017-10-11 21:00:00,11.38,11.43,11.38,11.43,14.87,169.92
2017-10-11 22:00:00,11.38,11.43,11.43,11.38,66.01,753.61
2017-10-11 23:00:00,11.38,11.5,11.38,11.5,334.57,3823.91
2017-10-12 00:00:00,11.4,11.5,11.5,11.48,9.89,113.42
2017-10-12 01:00:00,11.39,11.48,11.48,11.48,137.06,1572.39
2017-10-12 02:00:00,11.43,11.53,11.48,11.53,189.01,2176.11
2017-10-12 03:00:00,11.48,11.53,11.53,11.5,148.08,1703.61
2017-10-12 04:00:00,11.4,11.5,11.5,11.49,244.73,2794.18
2017-10-12 05:00:00,11.4,11.52,11.49,11.52,3052.85,35027.86
2017-10-12 06:00:00,11.43,11.55,11.52,11.55,1098.31,12631.59
2017-10-12 07:00:00,11.4,11.55,11.55,11.45,330.75,3792.31
2017-10-12 08:00:00,11.35,11.49,11.45,11.45,4648.99,52859.86
2017-10-12 09:00:00,11.42,11.62,11.45,11.62,3915.48,45102.33
2017-10-12 10:00:00,11.62,11.99,11.62,11.98,5913.79,70269.14
2017-10-12 11:00:00,11.65,11.99,11.98,11.73,2383.62,28150.02
2017-10-12 12:00:00,11.73,11.91,11.73,11.91,2129.97,25261.46
2017-10-12 13:00:00,11.73,11.95,11.91,11.76,848.38,10068.82
2017-10-12 14:00:00,11.76,11.92,11.76,11.81,789.37,9362.83
2017-10-12 15:00:00,11.72,11.89,11.81,11.72,727.36,8592.82
2017-10-12 16:00:00,11.7,11.9,11.72,11.81,5122.16,60494.71
2017-10-12 17:00:00,11.65,11.84,11.81,11.7,1828.14,21500.82
2017-10-12 18:00:00,11.62,11.7,11.7,11.65,477.32,5563.7
2017-10-12 19:00:00,11.61,11.7,11.65,11.61,788.71,9184.49
2017-10-12 20:00:00,11.61,11.7,11.61,11.7,628.61,7345.85
2017-10-12 21:00:00,11.6,11.7,11.7,11.66,804.18,9388.24
2017-10-12 22:00:00,11.61,11.71,11.66,11.61,690.95,8079.15
2017-10-12 23:00:00,11.61,11.73,11.61,11.7,187.72,2200.2
2017-10-13 00:00:00,11.6,11.8,11.7,11.6,1513.02,17751.43
2017-10-13 01:00:00,11.5,11.73,11.6,11.7,2217.48,25662.94
2017-10-13 02:00:00,11.34,11.7,11.7,11.46,5327.99,61101.59
2017-10-13 03:00:00,11.28,11.52,11.46,11.5,2943.43,33576.36
2017-10-13 04:00:00,11.49,11.59,11.5,11.5,657.11,7556.8
2017-10-13 05:00:00,11.27,11.53,11.5,11.36,7415.6,84558.8
2017-10-13 06:00:00,11.36,11.99,11.36,11.98,8127.25,94968.52
2017-10-13 07:00:00,11.8,12.15,11.98,11.8,10194.69,121781.96
2017-10-13 08:00:00,11.65,11.8,11.8,11.65,2964.02,34738.82
